season,name,position,round,total_points,points_last3,points_last5,minutes_last3,minutes_last5,bps_last5,ict_last5,starts_last3,xg_last5,xa_last5,xgi_last5,transfers_last3,season_points_avg,season_minutes_avg,was_home,value,round,pos_DEF,pos_FWD,pos_GK,pos_MID
2022-23,Aaron Cresswell,DEF,34,1,4.666666666666667,4.4,75.0,81.0,17.6,4.34,0.6666666666666666,0.016,0.11000000000000001,0.126,12324.666666666666,2.0,60.15151515151515,0,47,34,1,0,0,0
2022-23,Aaron Cresswell,DEF,35,6,1.0,3.0,75.0,81.0,15.0,3.3800000000000003,0.6666666666666666,0.016,0.08600000000000001,0.10200000000000001,13982.333333333334,1.9705882352941178,61.029411764705884,1,47,35,1,0,0,0
2022-23,Aaron Cresswell,DEF,38,1,2.0,1.6,30.0,45.0,9.0,1.0000000000000004,0.3333333333333333,0.0,0.004,0.004,-2908.3333333333335,1.972972972972973,58.513513513513516,0,47,38,1,0,0,0
2022-23,Aaron Hickey,DEF,2,6,1.0,1.0,83.0,83.0,8.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,83.0,1,50,2,1,0,0,0
2022-23,Aaron Hickey,DEF,3,0,3.5,3.5,81.0,81.0,13.5,1.8,0.0,0.0,0.0,0.0,-749.0,3.5,81.0,0,50,3,1,0,0,0
2022-23,Aaron Hickey,DEF,4,1,2.3333333333333335,2.3333333333333335,73.66666666666667,73.66666666666667,10.0,1.2666666666666668,0.0,0.0,0.0,0.0,2155.6666666666665,2.3333333333333335,73.66666666666667,1,50,4,1,0,0,0
2022-23,Aaron Hickey,DEF,5,1,2.3333333333333335,2.0,76.0,77.75,10.0,2.075,0.0,0.0,0.0,0.0,1154.3333333333333,2.0,77.75,0,50,5,1,0,0,0
2022-23,Aaron Hickey,DEF,6,0,0.6666666666666666,1.8,75.66666666666667,77.8,11.4,2.14,0.0,0.0,0.0,0.0,690.0,1.8,77.8,1,50,6,1,0,0,0
2022-23,Aaron Hickey,DEF,8,1,0.6666666666666666,1.6,86.0,79.2,11.2,2.5,0.0,0.0,0.0,0.0,-2496.3333333333335,1.5,79.83333333333333,1,50,8,1,0,0,0
2022-23,Aaron Hickey,DEF,9,0,0.6666666666666666,0.6,86.0,81.4,10.2,2.2600000000000002,0.0,0.0,0.0,0.0,-1619.6666666666667,1.4285714285714286,81.28571428571429,0,50,9,1,0,0,0
